127.0.0.1 - - [28/Apr/2021:12:36:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:36:14 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:36:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:36:25 +0900] "GET /MovieReview/member/joinForm.jsp HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:36:26 +0900] "POST /MovieReview/member/loginPro.jsp HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:37:17 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:37:19 +0900] "GET /MovieReview/member/joinForm.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:37:29 +0900] "GET /MovieReview/member/joinForm.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:37:33 +0900] "GET /MovieReview/member/joinForm.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:37:48 +0900] "GET /MovieReview/member/joinForm.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:47:51 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:47:53 +0900] "GET /MovieReview/member/joinForm.jsp HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:47:55 +0900] "POST /MovieReview/member/joinPro.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:47:57 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:48:17 +0900] "GET /MovieReview/member/joinForm.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:48:45 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:48:46 +0900] "POST /MovieReview/member/loginPro.jsp HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:49:30 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:49:32 +0900] "POST /MovieReview/member/loginPro.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:49:38 +0900] "GET /MovieReview/member/joinForm.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:49:39 +0900] "POST /MovieReview/member/joinPro.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:50:14 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:50:14 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:50:14 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:50:15 +0900] "POST /MovieReview/member/loginPro.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:50:18 +0900] "GET /MovieReview/member/joinForm.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:50:23 +0900] "POST /MovieReview/member/joinPro.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:50:25 +0900] "GET /MovieReview/member/loginForm.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:18:21 +0900] "GET /MovieReview/member/movieData.jsp HTTP/1.1" 200 1003
