127.0.0.1 - - [06/Apr/2021:16:45:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:45:27 +0900] "GET /StudyJSP2/JSP5/dbConnectTest.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:45:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:45:50 +0900] "GET /StudyJSP2/JSP5/dbConnectTest.jsp HTTP/1.1" 500 3963
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:50:28 +0900] "GET /StudyJSP2/JSP5/dbConnectTest.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Apr/2021:17:12:05 +0900] "GET /StudyJSP2/JSP5/dbConnectTest.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [06/Apr/2021:17:25:41 +0900] "GET /StudyJSP2/JSP5/insertTest.jsp HTTP/1.1" 500 3777
0:0:0:0:0:0:0:1 - - [06/Apr/2021:17:27:03 +0900] "GET /StudyJSP2/JSP5/insertTest.jsp HTTP/1.1" 500 3842
0:0:0:0:0:0:0:1 - - [06/Apr/2021:17:28:15 +0900] "GET /StudyJSP2/JSP5/insertTest.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [06/Apr/2021:17:38:03 +0900] "GET /StudyJSP2/JSP5/insertTest.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [06/Apr/2021:17:43:03 +0900] "GET /StudyJSP2/JSP5/insertTest.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [06/Apr/2021:17:49:05 +0900] "GET /StudyJSP2/JSP5/insertTest.jsp HTTP/1.1" 200 310
