127.0.0.1 - - [23/Mar/2021:14:09:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:09:49 +0900] "GET /StudyJSP2/js4/test4.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:09:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:11:00 +0900] "GET /StudyJSP2/js4/test4.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:11:53 +0900] "GET /StudyJSP2/js4/test4.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:11:57 +0900] "GET /StudyJSP2/js4/test4.html? HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:11:59 +0900] "GET /StudyJSP2/js4/test4.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:12:17 +0900] "GET /StudyJSP2/js4/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:14:19 +0900] "GET /StudyJSP2/js4/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:14:20 +0900] "GET /StudyJSP2/js4/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:14:20 +0900] "GET /StudyJSP2/js4/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:14:20 +0900] "GET /StudyJSP2/js4/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:14:20 +0900] "GET /StudyJSP2/js4/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:14:25 +0900] "GET /StudyJSP2/js4/test4.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:14:28 +0900] "GET /StudyJSP2/js4/test4.html?subject=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:14:31 +0900] "GET /StudyJSP2/js4/test4.html?subject=%EC%84%A0%ED%83%9D%ED%95%98%EC%8B%9C%EC%98%A4 HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:15:11 +0900] "GET /StudyJSP2/js4/test4.html?subject=%EC%84%A0%ED%83%9D%ED%95%98%EC%8B%9C%EC%98%A4 HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:15:14 +0900] "GET /StudyJSP2/js4/test4.html?subject=java HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:15:16 +0900] "GET /StudyJSP2/js4/test4.html?subject=js HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:15:20 +0900] "GET /StudyJSP2/js4/test4.html?subject= HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:17:21 +0900] "GET /StudyJSP2/js4/test4.html?subject= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:17:22 +0900] "GET /StudyJSP2/js4/test4.html?subject= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:17:22 +0900] "GET /StudyJSP2/js4/test4.html?subject= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:14:17:22 +0900] "GET /StudyJSP2/js4/test4.html?subject= HTTP/1.1" 304 -
